No,Provert
391,ပုစွန်ဆိတ် ငယ်သော်လည်း ပင်လယ်ကူးနိုင်သည်
392,ပုဆိုးခြုံထဲက လက်သီးပြ
393,ပေ ကုန်၍ စာမကျ
394,ပေတစ်ပင်လုံး ဘုန်းကြီးယပ်တောင်
395,ပေ ဖြစ်လျှင်ခံ၊ တူဖြစ်လျှင်နှံ
396,ပေါ့စေလိုလို့ ကြောင်ရုပ်ထိုး၊ ဆေးအတွက်လေး
397,ပိုနေမြဲ ကျားနေမြဲ
398,ပို့မည့်ပို့ ကူးတို့ရောက်အောင်ပို့
399,ပိုးသာကုန် မောင်ပုံ စောင်းမတတ်
400,ပေါက်တဲ့နဖူး မထူး
401,ပင်လယ်ကို ယုန်ငယ် မထောက်နိုင်
402,ပင်လယ်ထဲ မိုးရွာ
403,ပစ်ရမှာလည်း အဆီနဲ့ ရဲရဲ၊ စားရမှာလည်း သဲနှင့်ရှပ်ရှပ်
404,ပတ္တမြားကောင်းလျက် အမျက်မလွတ်
405,ပတ္တမြားဆန်ကျိုး အဖိုးပြည်တန်
406,ပတ္တမြားတော်ဝင် ဂေါ်မစင်
407,ပတ္တမြားတစ်ခြည် ဆန်တစ်ပြည်
408,ပတ္တမြားမှန်လျှင် နွံမှာ နစ်သော်လည်း မညစ်
409,ပန်းကောင်း အညွန့်ချိုး
410,ပန်းထိမ် တတ်မတတ် ဂဟေစပ်သက်သေ
411,ပန်းထိမ်မတတ်ခင် ရွှေခိုးသင်
412,ပန်းပဲသမား ဓားကောင်းမကိုင်ရ
413,ပုံလုံ တစ်လှည့်၊ ငါးဖျံ တစ်လှည့်
414,ပလ္လင်ဆင်း ငွေချေ
415,ပျားတစ်စက်ကြောင့် ပြည်ပျက်
416,ပျားရည်နှင့် ဝမ်းချ
